2016-03-05,DET,"[21, 21, 28, 19]",NY,"[22, 35, 22, 23]"
2016-03-08,NY,"[25, 24, 19, 26]",DEN,"[31, 29, 22, 28]"
2016-03-09,NY,"[29, 34, 25, 40]",PHX,"[19, 24, 32, 22]"
2016-03-11,NY,"[22, 28, 24, 20]",LAC,"[29, 32, 15, 25]"
2016-03-13,NY,"[18, 28, 19, 25]",LAL,"[11, 24, 25, 27]"
2016-01-01,PHI,"[21, 20, 19, 24]",LAL,"[21, 19, 22, 31]"
2016-01-02,PHI,"[29, 23, 22, 25]",LAC,"[31, 38, 34, 27]"
2016-01-04,MIN,"[25, 25, 29, 20]",PHI,"[29, 18, 33, 29]"
2016-01-07,ATL,"[22, 39, 36, 29]",PHI,"[21, 23, 32, 22]"
2016-01-09,TOR,"[25, 32, 18, 33]",PHI,"[26, 18, 25, 26]"
2016-01-10,CLE,"[26, 22, 27, 20]",PHI,"[20, 27, 22, 16]"
2016-01-14,CHI,"[22, 24, 31, 27]",PHI,"[34, 28, 17, 25]"
2016-01-16,POR,"[17, 26, 19, 27]",PHI,"[29, 39, 22, 24]"
2016-01-20,PHI,"[23, 24, 34, 15]",ORL,"[21, 25, 25, 16]"
2016-01-26,PHX,"[24, 21, 26, 32]",PHI,"[31, 23, 30, 29]"
2016-01-27,PHI,"[20, 25, 34, 18]",DET,"[12, 32, 30, 36]"
2016-01-30,GS,"[34, 39, 18, 17]",PHI,"[28, 26, 18, 33]"
2016-02-03,ATL,"[27, 31, 30, 36]",PHI,"[17, 25, 20, 24]"
2016-02-05,PHI,"[18, 29, 25, 22]",WSH,"[38, 22, 22, 24]"
2016-02-08,LAC,"[22, 27, 16, 23]",PHI,"[25, 34, 14, 15]"
2016-02-10,SAC,"[24, 24, 27, 39]",PHI,"[30, 33, 24, 23]"
2016-02-19,PHI,"[26, 29, 35, 24]",NO,"[37, 34, 21, 29]"
2016-02-21,PHI,"[30, 24, 26, 23]",DAL,"[28, 38, 29, 34]"
2016-02-23,ORL,"[33, 34, 30, 27]",PHI,"[31, 31, 31, 22]"
2016-02-24,PHI,"[20, 22, 19, 30]",DET,"[33, 32, 20, 26]"
2016-02-26,WSH,"[21, 27, 28, 27]",PHI,"[26, 26, 20, 22]"
2016-02-28,PHI,"[26, 25, 36, 29]",ORL,"[40, 37, 25, 28]"
2016-03-02,CHA,"[32, 26, 25, 36]",PHI,"[29, 21, 24, 25]"
